-0.867,-0.321,0.145
0.851,-0.129,0.434
-0.096,-0.386,0.948
-0.835,-0.337,0.562
0.98,0.129,0.562
-1.028,-0.209,0.9
0.305,-0.129,0.932
1.076,0.048,0.369
-1.076,-0.161,0.386
0.9,-0.048,0.386
-0.129,-0.257,0.932
-0.803,-0.562,0.643
1.012,0.064,0.482
0.514,0.755,0.386
0.016,-0.611,0.643
0.016,-0.803,0.369
0.418,0.964,0.578
0.064,-0.835,0.514
0.546,0.161,1.044
-0.514,-0.032,0.578
2.04,0.61,0.45
-1.012,-0.884,0.337
0.675,0.241,0.803
0.112,-0.145,0.739
-0.289,-0.386,0.691
0.948,0.048,0.482
-0.723,-0.434,0.53
1.044,0.369,0.53
0.241,-0.643,0.594
0.482,0.723,0.048
-1.06,-0.225,0.466
0.964,-0.113,0.321
0.289,-0.627,0.594
0.514,1.462,0.562
0.337,-0.434,0.9
-0.771,-0.225,0.546
0.9,0.016,0.289
-1.157,-0.177,0.61
0.209,-0.354,0.578
-0.755,-1.092,0.257
0.835,0.546,0.45
-0.61,-0.193,0.659
0.193,-0.45,0.61
0.514,-1.06,0.161
0,0.016,0.867
0.257,-0.241,0.803
-0.53,-0.787,0.225
0.659,-0.129,0.61
-0.53,0.177,0.851
0.129,-0.289,0.562
0,0.048,0.803
-0.048,-0.514,0.61
0.08,-0.964,0.707
-0.048,0,0.948
0.241,-0.578,0.675
-0.402,-0.45,0.707
0.835,0.129,0.386
-1.092,-0.739,0.177
0.707,0.096,0.691
0.305,1.365,0.498
-0.739,-0.257,0.53
0.514,-0.434,0.61
0,0.498,0.867
-0.273,0,0.739
0.225,-0.771,0.627
1.012,0.016,0.273
0.177,0.578,0.514
-0.771,-0.225,0.707
0.337,-0.353,0.835
0.257,0.305,0.61
0.096,0.562,0.691
-1.221,0.016,0.578
1.173,0.145,0.048
-0.787,-0.562,0.675
0.161,0.257,0.964
0.369,0.161,0.787
0.434,0.803,0.707
0.129,-0.498,0.514
-1.189,0.145,0.643
1.076,0.161,0.032
-0.755,-1.076,0.129
0.867,0.337,0.386
-0.145,0,0.787
0.659,-0.241,0.594
0.45,0.112,0.643
-0.161,-0.466,0.771
0.739,-0.273,0.289
0.193,-0.273,0.803
0.096,-0.113,0.867
-0.161,-0.225,0.739
0.321,0.096,0.739
0.161,-0.273,0.819
0,-0.161,0.787
0.129,-0.755,0.819
-0.161,0.337,0.835
0.129,-0.434,0.578
0.835,-0.016,0.257
0.289,-0.257,0.643
0.096,-0.305,0.675
0.691,-0.048,0.418
0.145,-0.9,0.353
0.08,0.048,0.771
-1.092,-0.177,0.498
1.237,-0.161,-0.129
-1.285,-0.177,0.386
1.189,0,0.225
